Air Compressor (Up to 160 CFM) or equal ,RM0701,MM33
Air Compressor (161 to 185 CFM) or equal    ,RM0702,MM33
Air Compressor (186 to 250 CFM) or equal ,RM0703,
Air Compressor (251 to 375 CFM) or equal    ,RM0704,MM34
Air Compressor (376 to 425 CFM) or equal ,RM0705,
Air Compressor (426 to 650 CFM) or equal ,RM0706,
Air Compressor (651 to 750 CFM) or equal ,RM0707,
Air Compressor (751 to 825 CFM) or equal ,RM0708,
Air Compressor (826 to 900 CFM) or equal ,RM0709,
Air Compressor (901 to 1300 CFM) or equal ,RM0710,
Air Compressor (1301 to 1600 CFM) or equal ,RM0711,
Air Compressor - Air Drier ,RM0712,
ATV - John Deere Gator 4x4 or equal,RM1012,MM23
Blasting - BRS - 30" to 36" Sandblast Head ,,MM03
Blasting - BRS - 30" to 36" Waterblast Head,,MM45
Blasting - Sandblaster/Safety Equipment (Single Nozzle)    ,RM1723,
Blasting - Sandblaster/Safety Equipment (Double Nozzle),,
Blasting - Sandblaster/Safety Equipment (Triple Nozzle),,
Blasting - Blast Bully blast wand (Little Bully #38),,
Boom Truck - Winch Truck 4WD,,
Boom Truck -  2 Ton w/ 8 ton knuckle boom,,
Boom Truck -15 ton,,
Boom Truck - Peterbilt 375 with 23 ton boom,,
Butt Fusion Machine (1/2" to 1") ,RM1901,
Butt Fusion Machine (1/2" to 2") ,RM1902,
Butt Fusion Machine (2" to 8") ,RM1903,
Butt Fusion Machine (4" to 12") ,RM1904,
Butt Fusion Machine (6" to 18") ,RM1905,
Butt Fusion Machine (8" to 20") ,RM1906,
Butt Fusion Line Tamer/Straightener,RM1907,
Butt Fusion EF Processor (Electro-fusion Machine),RM1908,
Butt Fusion Sidewinder (Side or Tee Tap),RM1909,
Coating - Spray Trailer (Complete),,MM32
Compactor - Jumping Jack Compactor (to 5000 lbs CF)     ,RM0601,
Compactor - Impact Plate Compactor (to 8000 lbs CF),RM0602,
Compactor - Air Backfill Tamper (Pogo stick) or equal,RM0603,
Demolition - Sullair Air Breaker/Hammer (up to 35 lbs)     ,RM0501,
Demolition - Sullair Air Breaker/Hammer (36 to 60 lbs)     ,RM0502,
Demolition - Sullair Air Breaker/Hammer (61 to 90 lbs)     ,RM0503,
Demolition - Sullair Rock Drill (up to 30 lbs) includes bits,RM0504,
Demolition - Sullair Rock Drill (31 to 50 lbs) includes bits,RM0505,
Demolition - Concrete Saw (up to 14" hand-held)     ,RM0506,
Demolition - Concrete Saw (up to 16" walk behind),RM0507,
Demolition - Concrete Saw (18" to 26" walk behind),RM0508,
Demolition - Wachs Radial Pipe Cutter,RM0509,
Demolition - Mears Longitudinal/Axial Pipe Cutter,RM0510,
Demolition - Hand Lance (high pressure/low volume water),RM0511,
Demolition - Air Knife,RM0512,
"Dozer - Cat D3 low track or equal (up to 17,500 lbs)",RM0801,
"Dozer - Cat D4 low track or equal (17,500 to 18,000 lbs)",RM0802,
"Dozer - Cat D5 low track or equal (18,001 to 21,000 lbs)",RM0803,
"Dozer - Cat D6 low track or equal (30,001 to 55,000 lbs)",RM0804,
"Dozer - Cat D4 high track or equal (up to 26,000 lbs)     ",RM0805,
"Dozer - Cat D5 high track or equal (26,001 to 30,000 lbs)",RM0806,
"Dozer - Cat D6 high track or equal (30,001 to 55,000 lbs)",RM0807,
"Dozer - Cat D7 high track or equal (55,001 to 60,000 lbs)",RM0808,
"Dozer - Cat D8 or equal (60,001 to 85,000 lbs)",RM0809,
Drilling - Vermeer D80x100 or equal,RM1101,
Drilling - Vermeer D50x100 or equal,RM1102,
Drilling - Vermeer D24x40 or equal,RM1103,MM41
Drilling - Vermeer D16x20 or equal,RM1104,
Drilling - Vermeer D7x11 or equal,RM1105,
Drilling - Mud Mixing System/Directional Bore Tanker Truck,,MM20
Excavator - Cat 416 Backhoe or equal*     ,RM0302,MM08
Excavator - Cat 416 Backhoe extend a hoe or equal*,RM0303,MM08
"Excavator - Cat 301 or equal (up to 4,500 lbs)",RM0304,
"Excavator Cat 302 or equal (4,501 to 7,000 lbs)",RM0305,
"Excavator Cat 303 or equal (7,001 to 10,000 lbs)",RM0306,
"Excavator Cat 305 or equal (10,001 to 15,000 lbs)",RM0307,
